Run;Time;v;Co;pH;efficiency
1;60;0.12;100;7;95.8
2;40;0.18;100;7;85.7
3;60;0.18;50;3;95.38
4;40;0.12;100;3;85.2
5;40;0.12;100;7;86.4
6;20;0.06;50;11;94.1
7;20;0.06;50;3;91.69
8;60;0.06;50;3;93.24
9;20;0.18;150;11;55.1
10;20;0.18;50;3;57.8
11;60;0.06;150;3;94.2
12;40;0.12;150;7;80.88
13;20;0.06;150;3;62.42
14;60;0.06;150;11;93.8
15;40;0.12;100;7;92.6
16;40;0.06;100;7;91.34
17;40;0.12;100;7;92.4
18;60;0.06;50;11;94.2
19;40;0.12;100;7;93.1
20;20;0.18;50;11;84
21;40;0.12;100;7;91.2
22;60;0.18;150;11;92.9
23;40;0.12;100;11;93.1
24;60;0.18;50;11;98.2
25;20;0.12;100;7;72.9
26;40;0.12;100;7;93.5
27;60;0.18;150;3;90.29
28;40;0.12;50;7;94.7
29;20;0.06;150;11;63.5
30;20;0.18;150;3;30.6
